Tweets	Followers	Friends	Happy	Sad
1012	52	22	0.480856	0.519144
1150	74	23	0.480927	0.519073
57	446	624	0.480856	0.519144
2160	9161	163	0.970588	0.029412
337	23	53	0.480856	0.519144
493	86	74	0.480856	0.519144
334	18	67	0.480927	0.519073
980	5439	69	0.480856	0.519144
79	90	83	0.480856	0.519144
1567	52	6	0.029411	0.970589
183	58	184	0.029411	0.970589
2092	114	157	0.480927	0.519073
4343	141	91	0.480856	0.519144
150	24	71	0.480856	0.519144
213	25	59	0.519134	0.480866
2096	143	147	0.480856	0.519144
247	30	36	0.480856	0.519144
141	14	11	0.480856	0.519144
1241	81	49	0.480856	0.519144
2	3	4	0.480856	0.519144
4584	161	136	0.970596	0.029404
1207	125	48	0.480856	0.519144
296	94	226	0.480856	0.519144
7825	6803	7068	0.970588	0.029412
330	381	722	0.970588	0.029412
107	15	46	0.034114	0.965886
137	127	260	0.970588	0.029412
1413	114	47	0.480856	0.519144
24	17	80	0.970588	0.029412
2446	162	254	0.480856	0.519144
2	16	84	0.480856	0.519144
352	31	40	0.480856	0.519144
16	2	2	0.480856	0.519144
30	4	12	0.970588	0.029412
5759	1285	1280	0.480856	0.519144
12	6	35	0.480856	0.519144
1792	5335	5794	0.970588	0.029412
6530	350	289	0.480927	0.519073
86	20	82	0.480856	0.519144
1229	1889	2078	0.480856	0.519144
164	18	34	0.480856	0.519144
137	11	9	0.970588	0.029412
585	189	229	0.480856	0.519144
27	10	67	0.480856	0.519144
52	8	20	0.480856	0.519144
401	38	45	0.480856	0.519144
58479	18850	18989	0.480856	0.519144
20	24	33	0.480856	0.519144
1653	50	133	0.480856	0.519144
102	18	17	0.480856	0.519144
789	32	24	0.480856	0.519144
1016	113	83	0.480856	0.519144
3046	222	141	0.029419	0.970581
58	30	62	0.480856	0.519144
159	13	26	0.480856	0.519144
475	55	49	0.480856	0.519144
1050	10098	11069	0.999150	0.000850
654	157	151	0.480856	0.519144
192	18	50	0.480856	0.519144
7	11	4	0.480856	0.519144
174	72	54	0.970588	0.029412
9553	292	269	0.970588	0.029412
1019	49	70	0.029411	0.970589
2	9	72	0.480856	0.519144
9533	741	340	0.970596	0.029404
323	74	85	0.480856	0.519144
19	9	36	0.480856	0.519144
206	31	47	0.480927	0.519073
5983	416	341	0.970588	0.029412
2277	789	394	0.480856	0.519144
14	8	12	0.029411	0.970589
799	34	64	0.480856	0.519144
69	23	29	0.970588	0.029412
1706	2222	1832	0.970588	0.029412
7533	2164	825	0.480856	0.519144
614	35	37	0.986972	0.013028
702	2617	2626	0.480856	0.519144
1959	153	110	0.970588	0.029412
3573	358	195	0.970596	0.029404
318	40	32	0.029411	0.970589
46	118	268	0.480856	0.519144
59	44	54	0.480856	0.519144
59	149	142	0.480856	0.519144
65	23	67	0.970588	0.029412
680	927	1551	0.480856	0.519144
105	23	91	0.480856	0.519144
28	5	8	0.480856	0.519144
9	23	31	0.480856	0.519144
4624	1098	389	0.680210	0.319790
1046	2053	1107	0.480856	0.519144
341	73	69	0.984848	0.015152
2598	78	95	0.480856	0.519144
9	0	14	0.480856	0.519144
702	33	55	0.480856	0.519144
2859	20	4	0.480856	0.519144
22	14	28	0.480927	0.519073
788	66	37	0.480856	0.519144
214	54	109	0.480856	0.519144
564	130	168	0.480856	0.519144
394	28	73	0.480856	0.519144
325	71	68	0.480856	0.519144
2294	274	139	0.519134	0.480866
109	52	47	0.480856	0.519144
875	97	122	0.480856	0.519144
1	0	1	0.480856	0.519144
14969	554	11	0.480856	0.519144
245	56	94	0.970588	0.029412
1731	84	186	0.970588	0.029412
1517	190	49	0.480856	0.519144
